File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\LiberoProjects\HSM\HSM\mbedtls\library\md4.c,"mbedtls_md4_finish( mbedtls_md4_context *ctx, unsigned char output[16] )",22,17,16,0,5,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md4.c,"mbedtls_md4( const unsigned char *input, size_t ilen, unsigned char output[16] )",8,7,7,0,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md4.c,mbedtls_md4_self_test( int verbose ),28,21,12,8,7,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,"mbedtls_zeroize( void *v, size_t n )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,mbedtls_md5_init( mbedtls_md5_context *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,mbedtls_md5_free( mbedtls_md5_context *ctx ),5,4,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,"mbedtls_md5_clone( mbedtls_md5_context *dst, const mbedtls_md5_context *src )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,mbedtls_md5_starts( mbedtls_md5_context *ctx ),8,7,7,0,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,"mbedtls_md5_process( mbedtls_md5_context *ctx, const unsigned char data[64] )",120,103,91,0,17,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,"mbedtls_md5_update( mbedtls_md5_context *ctx, const unsigned char *input, size_t ilen )",36,29,21,5,7,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,"mbedtls_md5_finish( mbedtls_md5_context *ctx, unsigned char output[16] )",22,17,16,0,5,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,"mbedtls_md5( const unsigned char *input, size_t ilen, unsigned char output[16] )",8,7,7,0,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,mbedtls_md5_self_test( int verbose ),27,20,12,8,7,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,md2_starts_wrap( void *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md2_update_wrap( void *ctx, const unsigned char *input, size_t ilen )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md2_finish_wrap( void *ctx, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,md2_ctx_alloc( void ),7,5,4,2,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,md2_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md2_clone_wrap( void *dst, const void *src )",3,3,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md2_process_wrap( void *ctx, const unsigned char *data )",4,3,3,0,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,md4_starts_wrap( void *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md4_update_wrap( void *ctx, const unsigned char *input, size_t ilen )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md4_finish_wrap( void *ctx, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,md4_ctx_alloc( void ),7,5,4,2,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,md4_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md4_clone_wrap( void *dst, const void *src )",3,3,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md4_process_wrap( void *ctx, const unsigned char *data )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,md5_starts_wrap( void *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md5_update_wrap( void *ctx, const unsigned char *input, size_t ilen )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md5_finish_wrap( void *ctx, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,md5_ctx_alloc( void ),7,5,4,2,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,md5_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md5_clone_wrap( void *dst, const void *src )",3,3,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"md5_process_wrap( void *ctx, const unsigned char *data )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,ripemd160_starts_wrap( void *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"ripemd160_update_wrap( void *ctx, const unsigned char *input, size_t ilen )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"ripemd160_finish_wrap( void *ctx, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,ripemd160_ctx_alloc( void ),7,5,4,2,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,ripemd160_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"ripemd160_clone_wrap( void *dst, const void *src )",3,3,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"ripemd160_process_wrap( void *ctx, const unsigned char *data )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha1_starts_wrap( void *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha1_update_wrap( void *ctx, const unsigned char *input, size_t ilen )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha1_finish_wrap( void *ctx, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha1_ctx_alloc( void ),7,5,4,2,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha1_clone_wrap( void *dst, const void *src )",3,3,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha1_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha1_process_wrap( void *ctx, const unsigned char *data )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha224_starts_wrap( void *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha224_update_wrap( void *ctx, const unsigned char *input, size_t ilen )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha224_finish_wrap( void *ctx, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha224_wrap( const unsigned char *input, size_t ilen, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha224_ctx_alloc( void ),7,5,4,2,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha224_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha224_clone_wrap( void *dst, const void *src )",3,3,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha224_process_wrap( void *ctx, const unsigned char *data )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha256_starts_wrap( void *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha256_wrap( const unsigned char *input, size_t ilen, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha384_starts_wrap( void *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha384_update_wrap( void *ctx, const unsigned char *input, size_t ilen )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha384_finish_wrap( void *ctx, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha384_wrap( const unsigned char *input, size_t ilen, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha384_ctx_alloc( void ),7,5,4,2,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha384_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha384_clone_wrap( void *dst, const void *src )",3,3,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha384_process_wrap( void *ctx, const unsigned char *data )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,sha512_starts_wrap( void *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,"sha512_wrap( const unsigned char *input, size_t ilen, unsigned char *output )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,"mbedtls_zeroize( void *v, size_t n )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,debug_header( memory_header *hdr ),18,16,7,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,debug_chain(),18,15,11,2,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,verify_header( memory_header *hdr ),42,37,17,11,5,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,verify_chain(),46,40,18,10,6,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,"buffer_alloc_calloc( size_t n, size_t size )",146,111,69,24,27,0,8,24,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,buffer_alloc_free( void *ptr ),114,86,48,16,21,0,7,29,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,mbedtls_memory_buffer_set_verify( int verify ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,mbedtls_memory_buffer_alloc_verify(),2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,mbedtls_memory_buffer_alloc_status(),17,16,6,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,"mbedtls_memory_buffer_alloc_max_get( size_t *max_used, size_t *max_blocks )",3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,mbedtls_memory_buffer_alloc_max_reset( void ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,"mbedtls_memory_buffer_alloc_cur_get( size_t *cur_used, size_t *cur_blocks )",3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,"buffer_alloc_calloc_mutexed( size_t n, size_t size )",8,8,6,5,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,buffer_alloc_free_mutexed( void *ptr ),7,5,4,1,0,0,2,17,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,"mbedtls_memory_buffer_alloc_init( unsigned char *buf, size_t len )",29,24,16,1,4,0,1,11,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,mbedtls_memory_buffer_alloc_free(),5,5,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,check_pointer( void *p ),8,6,4,5,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,check_all_free( ),12,11,4,3,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,mbedtls_memory_buffer_alloc_self_test( int verbose ),93,59,48,7,33,0,1,9,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,net_prepare( void ),18,16,7,4,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,mbedtls_net_init( mbedtls_net_context *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,"mbedtls_net_connect( mbedtls_net_context *ctx, const char *host, const char *port, int proto )",41,31,22,9,8,0,2,17,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,"mbedtls_net_bind( mbedtls_net_context *ctx, const char *bind_ip, const char *port, int proto )",66,51,34,13,11,0,4,31,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,net_would_block( const mbedtls_net_context *ctx ),3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,net_would_block( const mbedtls_net_context *ctx ),18,14,5,5,1,0,3,10,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,"mbedtls_net_accept( mbedtls_net_context *bind_ctx, mbedtls_net_context *client_ctx, void *client_ip, size_t buf_size, size_t *ip_len )",110,85,44,22,19,1,6,62,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,mbedtls_net_set_block( mbedtls_net_context *ctx ),8,8,4,2,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,mbedtls_net_set_nonblock( mbedtls_net_context *ctx ),8,8,4,2,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,mbedtls_net_usleep( unsigned long usec ),14,14,7,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,"mbedtls_net_recv( void *ctx, unsigned char *buf, size_t len )",30,23,12,13,7,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,"mbedtls_net_recv_timeout( void *ctx, unsigned char *buf, size_t len, uint32_t timeout )",37,27,17,11,8,0,2,14,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,"mbedtls_net_send( void *ctx, const unsigned char *buf, size_t len )",30,23,12,13,7,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,mbedtls_net_free( mbedtls_net_context *ctx ),8,6,5,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\oid.c,"mbedtls_oid_get_numeric_string( char *buf, size_t size, const mbedtls_asn1_buf *oid )",36,27,20,6,6,0,3,15,
E:\LiberoProjects\HSM\HSM\mbedtls\library\padlock.c,mbedtls_padlock_has_support( int feature ),25,22,7,2,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\padlock.c,"mbedtls_padlock_xcryptecb( mbedtls_aes_context *ctx, int mode, const unsigned char input[16], unsigned char output[16] )",31,26,14,1,5,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\padlock.c,"mbedtls_padlock_xcryptcbc( mbedtls_aes_context *ctx, int mode, size_t length, unsigned char iv[16], const unsigned char *input, unsigned char *output )",40,33,17,3,7,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,"mbedtls_zeroize( void *v, size_t n )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,mbedtls_pem_init( mbedtls_pem_context *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,"pem_get_iv( const unsigned char *s, unsigned char *iv, size_t iv_len )",18,13,8,6,5,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,"pem_pbkdf1( unsigned char *key, size_t keylen, unsigned char *iv, const unsigned char *pwd, size_t pwdlen )",43,28,25,2,9,0,6,18,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,"pem_des_decrypt( unsigned char des_iv[8], unsigned char *buf, size_t buflen, const unsigned char *pwd, size_t pwdlen )",14,10,9,0,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,"pem_des3_decrypt( unsigned char des3_iv[8], unsigned char *buf, size_t buflen, const unsigned char *pwd, size_t pwdlen )",14,10,9,0,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,"pem_aes_decrypt( unsigned char aes_iv[16], unsigned int keylen, unsigned char *buf, size_t buflen, const unsigned char *pwd, size_t pwdlen )",14,10,9,0,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,"mbedtls_pem_read_buffer( mbedtls_pem_context *ctx, const char *header, const char *footer, const unsigned char *data, const unsigned char *pwd, size_t pwdlen, size_t *use_len )",177,136,80,48,32,7,9,78,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,mbedtls_pem_free( mbedtls_pem_context *ctx ),5,4,4,0,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,"mbedtls_pem_write_buffer( const char *header, const char *footer, const unsigned char *der_data, size_t der_len, unsigned char *buf, size_t buf_len, size_t *olen )",46,37,29,8,9,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_zeroize( void *v, size_t n )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,mbedtls_pk_init( mbedtls_pk_context *ctx ),6,5,4,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,mbedtls_pk_free( mbedtls_pk_context *ctx ),7,5,4,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,mbedtls_pk_info_from_type( mbedtls_pk_type_t pk_type ),20,19,7,6,0,0,1,5,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_pk_setup( mbedtls_pk_context *ctx, const mbedtls_pk_info_t *info )",10,7,5,5,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_pk_setup_rsa_alt( mbedtls_pk_context *ctx, void * key, mbedtls_pk_rsa_alt_decrypt_func decrypt_func, mbedtls_pk_rsa_alt_sign_func sign_func, mbedtls_pk_rsa_alt_key_len_func key_len_func )",20,14,12,5,6,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_pk_can_do( const mbedtls_pk_context *ctx, mbedtls_pk_type_t type )",6,4,3,3,1,0,1,8,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"pk_hashlen_helper( mbedtls_md_type_t md_alg, size_t *hash_len )",11,8,6,5,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_pk_verify( mbedtls_pk_context *ctx, mbedtls_md_type_t md_alg, const unsigned char *hash, size_t hash_len, const unsigned char *sig, size_t sig_len )",10,8,4,5,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_pk_verify_ext( mbedtls_pk_type_t type, const void *options, mbedtls_pk_context *ctx, mbedtls_md_type_t md_alg, const unsigned char *hash, size_t hash_len, const unsigned char *sig, size_t sig_len )",49,37,17,20,11,2,1,11,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_pk_sign( mbedtls_pk_context *ctx, mbedtls_md_type_t md_alg, const unsigned char *hash, size_t hash_len, unsigned char *sig, size_t *sig_len, int (*f_rng)(void *, unsigned char *, size_t), void *p_rng )",10,8,4,5,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_pk_decrypt( mbedtls_pk_context *ctx, const unsigned char *input, size_t ilen, unsigned char *output, size_t *olen, size_t osize, int (*f_rng)(void *, unsigned char *, size_t), void *p_rng )",9,7,4,5,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_pk_encrypt( mbedtls_pk_context *ctx, const unsigned char *input, size_t ilen, unsigned char *output, size_t *olen, size_t osize, int (*f_rng)(void *, unsigned char *, size_t), void *p_rng )",9,7,4,5,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_pk_check_pair( const mbedtls_pk_context *pub, const mbedtls_pk_context *prv )",20,18,8,8,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,mbedtls_pk_get_bitlen( const mbedtls_pk_context *ctx ),5,4,3,3,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,"mbedtls_pk_debug( const mbedtls_pk_context *ctx, mbedtls_pk_debug_item *items )",9,7,5,5,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,mbedtls_pk_get_name( const mbedtls_pk_context *ctx ),5,4,3,3,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,mbedtls_pk_get_type( const mbedtls_pk_context *ctx ),5,4,3,3,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs11.c,mbedtls_pkcs11_init( mbedtls_pkcs11_context *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs11.c,"mbedtls_pkcs11_x509_cert_bind( mbedtls_x509_crt *cert, pkcs11h_certificate_t pkcs11_cert )",45,37,23,7,8,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs11.c,"mbedtls_pkcs11_priv_key_bind( mbedtls_pkcs11_context *priv_key, pkcs11h_certificate_t pkcs11_cert )",21,14,11,3,7,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs11.c,mbedtls_pkcs11_priv_key_free( mbedtls_pkcs11_context *priv_key ),3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs11.c,"mbedtls_pkcs11_decrypt( mbedtls_pkcs11_context *ctx, int mode, size_t *olen, const unsigned char *input, unsigned char *output, size_t output_max_len )",31,23,13,13,7,0,1,6,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs11.c,"mbedtls_pkcs11_sign( mbedtls_pkcs11_context *ctx, int mode, mbedtls_md_type_t md_alg, unsigned int hashlen, const unsigned char *hash, unsigned char *sig )",65,46,32,15,10,0,9,24,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs12.c,"mbedtls_zeroize( void *v, size_t n )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs12.c,"pkcs12_parse_pbe_params( mbedtls_asn1_buf *params, mbedtls_asn1_buf *salt, int *iterations )",30,17,11,9,6,0,7,16,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs12.c,"pkcs12_pbe_derive_key_iv( mbedtls_asn1_buf *pbe_params, mbedtls_md_type_t md_type, const unsigned char *pwd, size_t pwdlen, unsigned char *key, size_t keylen, unsigned char *iv, size_t ivlen )",36,29,16,12,7,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs12.c,"mbedtls_pkcs12_pbe_sha1_rc4_128( mbedtls_asn1_buf *pbe_params, int mode, const unsigned char *pwd, size_t pwdlen, const unsigned char *data, size_t len, unsigned char *output )",35,30,21,5,5,1,0,2,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs12.c,"mbedtls_pkcs12_pbe( mbedtls_asn1_buf *pbe_params, int mode, mbedtls_cipher_type_t cipher_type, mbedtls_md_type_t md_type, const unsigned char *pwd, size_t pwdlen, const unsigned char *data, size_t len, unsigned char *output )",50,38,24,11,12,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs12.c,"pkcs12_fill_buffer( unsigned char *data, size_t data_len, const unsigned char *filler, size_t fill_len )",11,10,8,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs12.c,"mbedtls_pkcs12_derivation( unsigned char *data, size_t datalen, const unsigned char *pwd, size_t pwdlen, const unsigned char *salt, size_t saltlen, mbedtls_md_type_t md_type, int id, int iterations )",111,78,55,23,26,0,7,46,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs5.c,"pkcs5_parse_pbkdf2_params( const mbedtls_asn1_buf *params, mbedtls_asn1_buf *salt, int *iterations, int *keylen, mbedtls_md_type_t *md_type )",52,32,19,20,11,0,9,25,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs5.c,"mbedtls_pkcs5_pbes2( const mbedtls_asn1_buf *pbe_params, int mode, const unsigned char *pwd, size_t pwdlen, const unsigned char *data, size_t datalen, unsigned char *output )",100,68,42,24,20,0,12,47,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs5.c,"mbedtls_pkcs5_pbkdf2_hmac( mbedtls_md_context_t *ctx, const unsigned char *password, size_t plen, const unsigned char *salt, size_t slen, unsigned int iteration_count, uint32_t key_length, unsigned char *output )",65,44,29,23,15,0,6,13,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs5.c,mbedtls_pkcs5_self_test( int verbose ),5,4,3,2,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs5.c,mbedtls_pkcs5_self_test( int verbose ),49,39,24,9,10,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkparse.c,"mbedtls_zeroize( void *v, size_t n )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkparse.c,"mbedtls_pk_load_file( const char *path, unsigned char **buf, size_t *n )",39,30,21,10,9,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkparse.c,"mbedtls_pk_parse_keyfile( mbedtls_pk_context *ctx, const char *path, const char *pwd )",18,14,10,4,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkparse.c,"mbedtls_pk_parse_public_keyfile( mbedtls_pk_context *ctx, const char *path )",14,10,9,3,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkparse.c,"pk_get_ecparams( unsigned char **p, const unsigned char *end, mbedtls_asn1_buf *params )",28,22,11,8,5,0,1,8,
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkparse.c,"pk_group_from_specified( const mbedtls_asn1_buf *params, mbedtls_ecp_group *grp )",138,70,36,31,25,0,43,182,
